sma_window,holding_days,stop_loss_pct,trade_count,profit_factor,expectancy,average_r,max_drawdown_pct,net_profit,passed,experiment_file
10,10,0.03,326,1.4614579397268797,103.64344194632092,0.18685919754196761,0.12386728970576867,33787.76207450062,True,C:\Users\joshu\Trading\experiments\20260827T220007Z_sma_crossover.json
10,10,0.02,359,1.3579126633594354,114.31945649359642,0.2049219001308184,0.14079712974019867,41040.684881201116,True,C:\Users\joshu\Trading\experiments\20260827T220007Z_sma_crossover.json
10,10,0.015,379,1.299179528212304,100.72568907922508,0.2026040503256056,0.15749095442150635,38175.036161026306,True,C:\Users\joshu\Trading\experiments\20260827T220007Z_sma_crossover.json
10,5,0.015,412,1.280685623488941,79.58107451450618,0.15318824071268108,0.12132350806264856,32787.40269997655,True,C:\Users\joshu\Trading\experiments\20260827T220006Z_sma_crossover.json
20,10,0.03,240,1.273625462302311,61.35538391833523,0.1208413650436553,0.08741511140139267,14725.292140400456,True,C:\Users\joshu\Trading\experiments\20260827T220009Z_sma_crossover.json
10,5,0.02,398,1.2680222403630539,67.24812747186239,0.1267503250254094,0.1117801810133572,26764.75473380123,True,C:\Users\joshu\Trading\experiments\20260827T220006Z_sma_crossover.json
10,5,0.03,372,1.267648231782643,46.298178570297644,0.08942123253240805,0.11052091105346923,17222.922428150723,True,C:\Users\joshu\Trading\experiments\20260827T220007Z_sma_crossover.json
20,5,0.02,267,1.2570374581574282,58.90933902547102,0.1154686696075839,0.06351305243842338,15728.793519800762,True,C:\Users\joshu\Trading\experiments\20260827T220008Z_sma_crossover.json
40,10,0.02,171,1.38916126239586,105.01371404620193,0.20532060256426968,0.06482505914370526,17957.34510190053,False,C:\Users\joshu\Trading\experiments\20260827T220011Z_sma_crossover.json
40,5,0.015,184,1.354865616252641,92.1494206074765,0.20388323563844354,0.059751996461719525,16955.493391775675,False,C:\Users\joshu\Trading\experiments\20260827T220010Z_sma_crossover.json
40,10,0.015,179,1.3450994104586995,104.15851299804831,0.2511474061195587,0.0758916117512663,18644.373826650648,False,C:\Users\joshu\Trading\experiments\20260827T220011Z_sma_crossover.json
40,3,0.015,189,1.2787651180689592,63.133429364156996,0.1423456062850189,0.058849711936710944,11932.218149825672,False,C:\Users\joshu\Trading\experiments\20260827T220010Z_sma_crossover.json
40,5,0.02,177,1.2674168314668992,61.01020384350586,0.12200179845766848,0.04880973675918129,10798.806080300537,False,C:\Users\joshu\Trading\experiments\20260827T220010Z_sma_crossover.json
40,10,0.03,159,1.2244237409012697,47.78320826289495,0.09942851855483693,0.07533006252891765,7597.530113800298,False,C:\Users\joshu\Trading\experiments\20260827T220011Z_sma_crossover.json
20,10,0.02,261,1.2124420077655322,63.71578263448555,0.12823223554043794,0.09811518781232188,16629.819267600727,False,C:\Users\joshu\Trading\experiments\20260827T220009Z_sma_crossover.json
10,3,0.015,428,1.2021089953410966,45.783913744103955,0.10574763593366465,0.08870579382380264,19595.515082476493,False,C:\Users\joshu\Trading\experiments\20260827T220005Z_sma_crossover.json
10,3,0.02,417,1.2006936019373282,39.8920620983242,0.07926043763675643,0.07666530518049003,16634.989895001192,False,C:\Users\joshu\Trading\experiments\20260827T220006Z_sma_crossover.json
20,5,0.03,249,1.1987153918462348,33.04853772911828,0.0666832137091113,0.05497504161827849,8229.085894550451,False,C:\Users\joshu\Trading\experiments\20260827T220009Z_sma_crossover.json
60,10,0.02,146,1.1926792307595786,53.8455493842492,0.1145279555970235,0.05263548748283275,7861.450210100384,False,C:\Users\joshu\Trading\experiments\20260827T220013Z_sma_crossover.json
40,3,0.02,183,1.1752177084321056,33.6567139655766,0.06960974444908594,0.047091067704131635,6159.178655700518,False,C:\Users\joshu\Trading\experiments\20260827T220010Z_sma_crossover.json
60,10,0.03,130,1.1696881796260854,36.65185386307869,0.07815840562274293,0.035777701878754196,4764.74100220023,False,C:\Users\joshu\Trading\experiments\20260827T220013Z_sma_crossover.json
10,3,0.03,403,1.1661046554185923,23.98714091551056,0.04857848563289931,0.09688426441765617,9666.817788950757,False,C:\Users\joshu\Trading\experiments\20260827T220006Z_sma_crossover.json
20,5,0.015,278,1.1647997160018668,43.96392161196386,0.1048694763661684,0.10838490443408981,12221.970208125953,False,C:\Users\joshu\Trading\experiments\20260827T220008Z_sma_crossover.json
60,10,0.015,156,1.133819629344555,41.915164559778745,0.11807394527890615,0.07689480982505005,6538.765671325484,False,C:\Users\joshu\Trading\experiments\20260827T220013Z_sma_crossover.json
20,10,0.015,276,1.1315647591890725,41.58365919465909,0.11818195587376054,0.1621354859013452,11477.089937725908,False,C:\Users\joshu\Trading\experiments\20260827T220009Z_sma_crossover.json
60,5,0.015,156,1.0676348557014472,18.39448046634932,0.05720605781128226,0.08688253053422684,2869.538952750494,False,C:\Users\joshu\Trading\experiments\20260827T220012Z_sma_crossover.json
20,3,0.02,277,1.052231927701883,10.308764951266232,0.0243286394479404,0.07504955397436423,2855.527891500746,False,C:\Users\joshu\Trading\experiments\20260827T220008Z_sma_crossover.json
40,3,0.03,178,1.0395162672479945,5.975104392979311,0.014459988307801723,0.048001138359241656,1063.5685819503174,False,C:\Users\joshu\Trading\experiments\20260827T220010Z_sma_crossover.json
60,5,0.02,147,1.019973456578039,4.558606125172543,0.014195414580415972,0.08152410922352067,670.1151004003638,False,C:\Users\joshu\Trading\experiments\20260827T220012Z_sma_crossover.json
40,5,0.03,169,1.0198993547431683,3.6477060778124426,0.010945925489280021,0.05630917840342809,616.4623271503028,False,C:\Users\joshu\Trading\experiments\20260827T220011Z_sma_crossover.json
20,3,0.015,284,1.0173217178964165,4.035961595337777,0.02683128838102818,0.08591913166618187,1146.2130930759286,False,C:\Users\joshu\Trading\experiments\20260827T220008Z_sma_crossover.json
20,3,0.03,267,0.9632574941621893,-5.524969082207873,-0.009179257621180086,0.048987504713180766,-1475.1667449495021,False,C:\Users\joshu\Trading\experiments\20260827T220008Z_sma_crossover.json
60,5,0.03,137,0.9449242081784625,-9.696877964596883,-0.016596985144640006,0.06596373389312912,-1328.472281149773,False,C:\Users\joshu\Trading\experiments\20260827T220013Z_sma_crossover.json
60,3,0.03,151,0.9200346670625023,-11.398488639733534,-0.02155914224903297,0.05912205921017952,-1721.1717845997637,False,C:\Users\joshu\Trading\experiments\20260827T220012Z_sma_crossover.json
60,3,0.015,161,0.887106857341331,-27.034531994251445,-0.031117393993522865,0.08601566841983348,-4352.559651074483,False,C:\Users\joshu\Trading\experiments\20260827T220012Z_sma_crossover.json
60,3,0.02,157,0.8858983577654329,-22.79281182292747,-0.04328443871511247,0.07178202995861212,-3578.4714561996125,False,C:\Users\joshu\Trading\experiments\20260827T220012Z_sma_crossover.json
