session,equity,daily_return,running_peak,drawdown_pct
2019-01-04,100000.0,0.0,100000.0,0.0
2019-01-07,100540.8469,0.005408469000000027,100540.8469,0.0
2019-01-08,101461.60689999998,0.009158068868425184,101461.60689999998,0.0
2019-01-09,102052.16690000001,0.005820526778982149,102052.16690000001,0.0
2019-01-10,102430.6269,0.0037084954832056205,102430.6269,0.0
2019-01-11,102263.24690000001,-0.0016340815737015957,102430.6269,-0.0016340815737015673
2019-01-14,101613.69569000001,-0.006351756175267842,102430.6269,-0.007975458461242662
2019-01-15,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-16,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-17,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-18,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-22,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-23,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-24,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-25,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-28,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-29,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-30,101613.69569000001,0.0,102430.6269,-0.007975458461242662
2019-01-31,101892.96989000002,0.0027483913276022953,102430.6269,-0.005248986814508901
2019-02-01,101752.88989000002,-0.0013747759060436238,102430.6269,-0.0066165465399488105
2019-02-04,102160.76989,0.004008534798775054,102430.6269,-0.002634534398227011
2019-02-05,102455.34989000003,0.0028834943228912557,102455.34989000003,0.0
2019-02-06,102354.40989000002,-0.0009852096558000678,102455.34989000003,-0.0009852096558000667
2019-02-07,101887.80959,-0.004558673148538084,102455.34989000003,-0.005539391555534731
2019-02-08,101887.80959,0.0,102455.34989000003,-0.005539391555534731
2019-02-11,101887.80959,0.0,102455.34989000003,-0.005539391555534731
2019-02-12,101887.80959,0.0,102455.34989000003,-0.005539391555534731
2019-02-13,101889.85950500003,2.0119335259582982e-05,102455.34989000003,-0.0055193836691508
2019-02-14,101804.59950500002,-0.000836785921721761,102455.34989000003,-0.006351551048321802
2019-02-15,102360.25950500001,0.005458103098501921,102455.34989000003,-0.0009281153702770072
2019-02-19,102379.36950500004,0.00018669354779321523,102455.34989000003,-0.0007415950956349616
2019-02-20,102469.03950500004,0.0008758600529925609,102469.03950500004,0.0
2019-02-21,102319.44642500006,-0.0014598856466561116,102469.03950500004,-0.001459885646656007
2019-02-22,102319.44642500006,0.0,102469.03950500004,-0.001459885646656007
2019-02-25,102319.44642500006,0.0,102469.03950500004,-0.001459885646656007
2019-02-26,102319.44642500006,0.0,102469.03950500004,-0.001459885646656007
2019-02-27,102319.44642500006,0.0,102469.03950500004,-0.001459885646656007
2019-02-28,102319.44642500006,0.0,102469.03950500004,-0.001459885646656007
2019-03-01,102319.44642500006,0.0,102469.03950500004,-0.001459885646656007
2019-03-04,101790.49629740007,-0.005169595283020967,102469.03950500004,-0.00662193391172424
2019-03-05,101790.49629740007,0.0,102469.03950500004,-0.00662193391172424
2019-03-06,101790.49629740007,0.0,102469.03950500004,-0.00662193391172424
2019-03-07,101790.49629740007,0.0,102469.03950500004,-0.00662193391172424
2019-03-08,101790.49629740007,0.0,102469.03950500004,-0.00662193391172424
2019-03-11,101790.49629740007,0.0,102469.03950500004,-0.00662193391172424
2019-03-12,101896.75295240006,0.0010438759890663007,102469.03950500004,-0.00558497040046965
2019-03-13,102365.10295240006,0.004596319180246944,102469.03950500004,-0.0010143215267954476
2019-03-14,102286.83138740007,-0.0007646313317966058,102469.03950500004,-0.001778177276572129
2019-03-15,102931.22138740007,0.00629983343172924,102931.22138740007,0.0
2019-03-18,103254.59138740007,0.0031416123858372114,103254.59138740007,0.0
2019-03-19,103310.66094240009,0.0005430223900615427,103310.66094240009,0.0
2019-03-20,103071.1709424001,-0.002318153787957189,103310.66094240009,-0.0023181537879572384
2019-03-21,103390.74261240009,0.003100495192575048,103390.74261240009,0.0
2019-03-22,103390.74261240009,0.0,103390.74261240009,0.0
2019-03-25,103390.74261240009,0.0,103390.74261240009,0.0
2019-03-26,103390.74261240009,0.0,103390.74261240009,0.0
2019-03-27,103119.60291240009,-0.0026224756022543705,103390.74261240009,-0.002622475602254556
2019-03-28,103195.6529124001,0.0007374931424493081,103390.74261240009,-0.0018869165175780338
2019-03-29,103445.2529124001,0.0024187065341976233,103445.2529124001,0.0
2019-04-01,104092.3467024001,0.006255422765005791,104092.3467024001,0.0
2019-04-02,104067.18670240011,-0.0002417084521297852,104092.3467024001,-0.00024170845212973584
2019-04-03,104461.2877524001,0.0037869866812771935,104461.2877524001,0.0
2019-04-04,104861.2377524001,0.0038286910740368274,104861.2377524001,0.0
2019-04-05,105236.66775240013,0.0035802552787569386,105236.66775240013,0.0
2019-04-08,105040.21105240012,-0.0018668084442035049,105236.66775240013,-0.0018668084442034145
2019-04-09,105040.21105240012,0.0,105236.66775240013,-0.0018668084442034145
2019-04-10,105040.21105240012,0.0,105236.66775240013,-0.0018668084442034145
2019-04-11,105040.21105240012,0.0,105236.66775240013,-0.0018668084442034145
2019-04-12,105040.21105240012,0.0,105236.66775240013,-0.0018668084442034145
2019-04-15,104996.36725240012,-0.0004174001514346548,105236.66775240013,-0.0022834293895107826
2019-04-16,105079.58725240012,0.0007925988505863568,105236.66775240013,-0.0014926403824338918
2019-04-17,105088.34725240013,8.336538264996918e-05,105236.66775240013,-0.0014093994343204476
2019-04-18,105232.88725240012,0.0013754141517978713,105236.66775240013,-3.5923790450138146e-05
2019-04-22,105177.40725240012,-0.0005272116108240299,105236.66775240013,-0.000563116461834686
2019-04-23,105334.87847240013,0.0014971962526335592,105334.87847240013,0.0
2019-04-24,105401.38464740015,0.0006313784756246665,105401.38464740015,0.0
2019-04-25,105131.13464740013,-0.0025640080621717187,105401.38464740015,-0.002564008062171891
2019-04-26,105462.48464740014,0.0031517780257135364,105462.48464740014,0.0
2019-04-29,105624.63464740013,0.0015375135579454025,105624.63464740013,0.0
2019-04-30,105438.98464740014,-0.001757639215697493,105624.63464740013,-0.0017576392156975268
2019-05-01,105113.13364740011,-0.0030904224001180314,105624.63464740013,-0.004842629768212018
2019-05-02,105113.13364740011,0.0,105624.63464740013,-0.004842629768212018
2019-05-03,105565.38310740014,0.004302501926325197,105624.63464740013,-0.0005609632657929946
2019-05-06,106503.66385740016,0.008888148011980679,106503.66385740016,0.0
2019-05-07,104600.90385740015,-0.01786567645736259,106503.66385740016,-0.017865676457362555
2019-05-08,104323.26385740013,-0.002654279167400908,106503.66385740016,-0.020472535131931268
2019-05-09,103297.36285040017,-0.009833866091481624,106503.66385740016,-0.030105077054372202
2019-05-10,103297.36285040017,0.0,106503.66385740016,-0.030105077054372202
2019-05-13,103297.36285040017,0.0,106503.66385740016,-0.030105077054372202
2019-05-14,103297.36285040017,0.0,106503.66385740016,-0.030105077054372202
2019-05-15,103297.36285040017,0.0,106503.66385740016,-0.030105077054372202
2019-05-16,103297.36285040017,0.0,106503.66385740016,-0.030105077054372202
2019-05-17,103373.66050040018,0.0007386214700417781,106503.66385740016,-0.029388691840599987
2019-05-20,103142.26050040017,-0.00223848124251258,106503.66385740016,-0.031561387047685394
2019-05-21,103436.06050040016,0.002848492931748936,106503.66385740016,-0.02880279650385807
2019-05-22,103278.92744040015,-0.001519132295254022,106503.66385740016,-0.030278173540749454
2019-05-23,102230.75863655016,-0.010148912559678314,106503.66385740016,-0.04011979556469596
2019-05-24,102230.75863655016,0.0,106503.66385740016,-0.04011979556469596
2019-05-28,102230.75863655016,0.0,106503.66385740016,-0.04011979556469596
2019-05-29,102230.75863655016,0.0,106503.66385740016,-0.04011979556469596
2019-05-30,102230.75863655016,0.0,106503.66385740016,-0.04011979556469596
2019-05-31,102230.75863655016,0.0,106503.66385740016,-0.04011979556469596
2019-06-03,102230.75863655016,0.0,106503.66385740016,-0.04011979556469596
2019-06-04,102230.75863655016,0.0,106503.66385740016,-0.04011979556469596
2019-06-05,102124.38576155016,-0.0010405173200188633,106503.66385740016,-0.04111856754255417
2019-06-06,102152.24169965019,0.0002727648043343578,106503.66385740016,-0.040857018436249996
2019-06-07,103258.53345965015,0.010829833409360834,106503.66385740016,-0.03046965973015703
2019-06-10,103898.85345965016,0.006201133974561346,106503.66385740016,-0.024457472197741772
2019-06-11,103926.18345965019,0.0002630442886517592,106503.66385740016,-0.024200861307466452
2019-06-12,103586.47796465017,-0.0032687190435690683,106503.66385740016,-0.02739047453480908
2019-06-13,103915.16135465018,0.0031730337439619394,106503.66385740016,-0.024304351690809214
2019-06-14,103753.48487465017,-0.001555850733351738,106503.66385740016,-0.025822388480759285
2019-06-17,103753.48487465017,0.0,106503.66385740016,-0.025822388480759285
2019-06-18,103753.48487465017,0.0,106503.66385740016,-0.025822388480759285
2019-06-19,103753.48487465017,0.0,106503.66385740016,-0.025822388480759285
2019-06-20,103753.48487465017,0.0,106503.66385740016,-0.025822388480759285
2019-06-21,103753.48487465017,0.0,106503.66385740016,-0.025822388480759285
2019-06-24,103753.48487465017,0.0,106503.66385740016,-0.025822388480759285
2019-06-25,103753.48487465017,0.0,106503.66385740016,-0.025822388480759285
2019-06-26,103753.48487465017,0.0,106503.66385740016,-0.025822388480759285
2019-06-27,103741.5000446502,-0.00011551255376596181,106503.66385740016,-0.02593491822448734
2019-06-28,104142.71968965021,0.0038674941544833974,106503.66385740016,-0.022167727214634194
2019-07-01,105004.1096896502,0.00827124548472491,106503.66385740016,-0.014079836443540002
2019-07-02,105033.2096896502,0.00027713201022327993,106503.66385740016,-0.013806606406693867
2019-07-03,105799.5196896502,0.007295882914216234,106503.66385740016,-0.006611454876263654
2019-07-05,105703.73608965022,-0.0009053311421539645,106503.66385740016,-0.007510800462423274
2019-07-08,105703.73608965022,0.0,106503.66385740016,-0.007510800462423274
2019-07-09,105703.73608965022,0.0,106503.66385740016,-0.007510800462423274
2019-07-10,105703.73608965022,0.0,106503.66385740016,-0.007510800462423274
2019-07-11,105703.73608965022,0.0,106503.66385740016,-0.007510800462423274
2019-07-12,105703.73608965022,0.0,106503.66385740016,-0.007510800462423274
2019-07-15,105413.26831141107,-0.0027479423999998698,106503.66385740016,-0.010238103615374564
2019-07-16,105408.53278403424,-4.492344704498663e-05,106503.66385740016,-0.01028256713151401
2019-07-17,105157.9088807487,-0.0023776434095618137,106503.66385740016,-0.012635762263102182
2019-07-18,105157.9088807487,0.0,106503.66385740016,-0.012635762263102182
2019-07-19,104827.31779296453,-0.0031437586702020015,106503.66385740016,-0.015739797146134958
2019-07-22,104889.6829972574,0.0005949327485041955,106503.66385740016,-0.015154228518407977
2019-07-23,105151.65395201372,0.002497585532441393,106503.66385740016,-0.012694491967869502
2019-07-24,105550.283881555,0.0037910000894822993,106503.66385740016,-0.008951616698573382
2019-07-25,104652.87608532203,-0.008502182687069038,106503.66385740016,-0.0173776911051265
2019-07-26,105600.19869729997,0.009052045652387042,106503.66385740016,-0.008482949105956107
2019-07-29,105260.23434128844,-0.003219353374381839,106503.66385740016,-0.011674992869508894
2019-07-30,104794.52997900842,-0.0044243143214944824,106503.66385740016,-0.016047653352847312
2019-07-31,104794.52997900842,0.0,106503.66385740016,-0.016047653352847312
2019-08-01,104794.52997900842,0.0,106503.66385740016,-0.016047653352847312
2019-08-02,104794.52997900842,0.0,106503.66385740016,-0.016047653352847312
2019-08-05,104794.52997900842,0.0,106503.66385740016,-0.016047653352847312
2019-08-06,104794.52997900842,0.0,106503.66385740016,-0.016047653352847312
2019-08-07,104794.52997900842,0.0,106503.66385740016,-0.016047653352847312
2019-08-08,104794.52997900842,0.0,106503.66385740016,-0.016047653352847312
2019-08-09,104794.52997900842,0.0,106503.66385740016,-0.016047653352847312
2019-08-12,104794.52997900842,0.0,106503.66385740016,-0.016047653352847312
2019-08-13,104794.52997900842,0.0,106503.66385740016,-0.016047653352847312
2019-08-14,103225.11463866191,-0.01497611889342787,106503.66385740016,-0.030783440681702384
2019-08-15,103175.55723177195,-0.0004800905967839997,106503.66385740016,-0.031248752438078314
2019-08-16,103175.55723177195,0.0,106503.66385740016,-0.031248752438078314
2019-08-19,103226.18168426397,0.0004906632331367344,106503.66385740016,-0.030773421818844404
2019-08-20,102491.57839125242,-0.007116443532305228,106503.66385740016,-0.037670868032480036
2019-08-21,103390.44068146437,0.00877010876718698,106503.66385740016,-0.029231136875292267
2019-08-22,103333.72005667865,-0.0005486060840041995,106503.66385740016,-0.029763706579764303
2019-08-23,101521.64356604789,-0.017536158474086072,106503.66385740016,-0.0467779239784914
2019-08-26,101521.64356604789,0.0,106503.66385740016,-0.0467779239784914
2019-08-27,101521.64356604789,0.0,106503.66385740016,-0.0467779239784914
2019-08-28,101521.64356604789,0.0,106503.66385740016,-0.0467779239784914
2019-08-29,101608.68596289407,0.0008573777353155787,106503.66385740016,-0.045960652593699164
2019-08-30,101090.14722141092,-0.00510329148112898,106503.66385740016,-0.050829393467979614
2019-09-03,100166.26763079685,-0.00913916554687122,106503.66385740016,-0.059504020773300054
2019-09-04,100476.96262228517,0.003101792637751899,106503.66385740016,-0.056586797269099195
2019-09-05,101280.74274233583,0.00799964587974511,106503.66385740016,-0.04903982572897582
2019-09-06,101179.22601051051,-0.001002330048897826,106503.66385740016,-0.04999300168695268
2019-09-09,101543.52336656986,0.0036005153471081464,106503.66385740016,-0.04657248690966654
2019-09-10,101855.37052878155,0.0030710689551900483,106503.66385740016,-0.043644445273190724
2019-09-11,102848.94336652981,0.009754741773459141,106503.66385740016,-0.03431544379321747
2019-09-12,102957.37497779597,0.0010542802649877725,106503.66385740016,-0.033297341623405335
2019-09-13,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-16,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-17,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-18,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-19,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-20,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-23,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-24,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-25,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-26,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-27,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-09-30,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-10-01,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-10-02,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-10-03,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-10-04,102957.37497779597,0.0,106503.66385740016,-0.033297341623405335
2019-10-07,102941.72116353322,-0.0001520416994521545,106503.66385740016,-0.0334443207384498
2019-10-08,102425.43435780428,-0.005015331003731527,106503.66385740016,-0.03829191740348296
2019-10-09,102425.43435780428,0.0,106503.66385740016,-0.03829191740348296
2019-10-10,102658.16414450899,0.002272187451914709,106503.66385740016,-0.0361067363658022
2019-10-11,103087.64117253837,0.004183564274779172,106503.66385740016,-0.03207422694336196
2019-10-14,103020.68740605812,-0.0006494839315237533,106503.66385740016,-0.032702879179869936
2019-10-15,104100.04939601674,0.01047713830237118,106503.66385740016,-0.022568373465551992
2019-10-16,103956.23946306678,-0.0013814588348837198,106503.66385740016,-0.023918655021522715
2019-10-17,104187.92848021559,0.0022287167980052924,106503.66385740016,-0.021743246131749515
2019-10-18,103705.03254701948,-0.004634854922639153,106503.66385740016,-0.026277324263020825
2019-10-21,103734.06443224402,0.0002799467346137341,106503.66385740016,-0.026004733779528996
2019-10-22,103734.06443224402,0.0,106503.66385740016,-0.026004733779528996
2019-10-23,103734.06443224402,0.0,106503.66385740016,-0.026004733779528996
2019-10-24,103734.06443224402,0.0,106503.66385740016,-0.026004733779528996
2019-10-25,103734.06443224402,0.0,106503.66385740016,-0.026004733779528996
2019-10-28,103718.0639520084,-0.0001542451876651585,106503.66385740016,-0.0261549678621522
2019-10-29,103727.83097722307,9.416898891578818e-05,106503.66385740016,-0.026063261860114983
2019-10-30,103835.2682545846,0.0010357613414775368,106503.66385740016,-0.025054495837704877
2019-10-31,103678.99585114965,-0.0015050031271820474,106503.66385740016,-0.026521791870301355
2019-11-01,104032.00404819466,0.0034048188270632274,106503.66385740016,-0.023207274939525513
2019-11-04,104163.6719198245,0.0012656477478685257,106503.66385740016,-0.021970999426918488
2019-11-05,104163.6719198245,0.0,106503.66385740016,-0.021970999426918488
2019-11-06,104163.6719198245,0.0,106503.66385740016,-0.021970999426918488
2019-11-07,104163.6719198245,0.0,106503.66385740016,-0.021970999426918488
2019-11-08,104163.6719198245,0.0,106503.66385740016,-0.021970999426918488
2019-11-11,104163.6719198245,0.0,106503.66385740016,-0.021970999426918488
2019-11-12,104163.6719198245,0.0,106503.66385740016,-0.021970999426918488
2019-11-13,104163.6719198245,0.0,106503.66385740016,-0.021970999426918488
2019-11-14,104163.6719198245,0.0,106503.66385740016,-0.021970999426918488
2019-11-15,104163.6719198245,0.0,106503.66385740016,-0.021970999426918488
2019-11-18,104099.90279021999,-0.0006122012447256076,106503.66385740016,-0.022569749998447092
2019-11-19,104226.060199243,0.0012118878658056165,106503.66385740016,-0.021385214138798847
2019-11-20,104111.37164558572,-0.001100382701198055,106503.66385740016,-0.022462064920297214
2019-11-21,103934.75127295352,-0.0016964561108027132,106503.66385740016,-0.024120415123804567
2019-11-22,104040.26474231825,0.001015189511423431,106503.66385740016,-0.0231297124048258
2019-11-25,104847.36096298117,0.007757537167575546,106503.66385740016,-0.015551604840906157
2019-11-26,104940.12778265163,0.0008847797294888604,106503.66385740016,-0.014680584856141416
2019-11-27,105242.47217898886,0.0028811132855053323,106503.66385740016,-0.011841767998704086
2019-11-29,104989.9882349651,-0.0023990689195739767,106503.66385740016,-0.014212427700719702
2019-12-02,104320.30221496912,-0.006378570292790542,106503.66385740016,-0.020500343024390005
2019-12-03,103492.5077810646,-0.007935123042480563,106503.66385740016,-0.028272793322558817
2019-12-04,103492.5077810646,0.0,106503.66385740016,-0.028272793322558817
2019-12-05,103367.17877222132,-0.0012109959602911724,106503.66385740016,-0.029449551044350337
2019-12-06,103754.85779470373,0.003750504048646741,106503.66385740016,-0.025809497656126265
2019-12-09,103466.06864464551,-0.002783379556354104,106503.66385740016,-0.028521039584344664
2019-12-10,103426.6728622049,-0.0003807604073168269,106503.66385740016,-0.028890940309012292
2019-12-11,103621.04089212656,0.0018792834047809404,106503.66385740016,-0.027065951168902445
2019-12-12,104445.97500407329,0.007961067606004013,106503.66385740016,-0.019320357429974847
2019-12-13,104577.71357036181,0.0012613082149253163,106503.66385740016,-0.01808341814059126
2019-12-16,105016.48330980129,0.0041956333186063954,106503.66385740016,-0.0139636562136499
2019-12-17,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2019-12-18,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2019-12-19,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2019-12-20,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2019-12-23,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2019-12-24,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2019-12-26,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2019-12-27,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2019-12-30,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2019-12-31,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2020-01-02,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2020-01-03,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2020-01-06,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2020-01-07,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2020-01-08,105016.48330980129,0.0,106503.66385740016,-0.0139636562136499
2020-01-09,105069.86712638577,0.0005083374999999002,106503.66385740016,-0.013462416963740564
2020-01-10,104912.34240142106,-0.0014992378811635731,106503.66385740016,-0.01494147147942014
2020-01-13,105008.16994244127,0.0009134057902695503,106503.66385740016,-0.014041713315714998
2020-01-14,105304.97630694947,0.00282650735338863,106503.66385740016,-0.011254894968267346
2020-01-15,105594.8848107745,0.0027530370737656185,106503.66385740016,-0.008532843037610779
2020-01-16,106320.92939519724,0.006875755257688798,106503.66385740016,-0.001715757520300769
2020-01-17,106232.29548328377,-0.0008336450068453516,106503.66385740016,-0.002547972194456376
2020-01-21,105946.45111736281,-0.0026907482759415124,106503.66385740016,-0.0052318645186085425
2020-01-22,105903.82817704752,-0.00040230644694350115,106503.66385740016,-0.005632066152726652
2020-01-23,105903.82817704752,0.0,106503.66385740016,-0.005632066152726652
2020-01-24,105903.82817704752,0.0,106503.66385740016,-0.005632066152726652
2020-01-27,105903.82817704752,0.0,106503.66385740016,-0.005632066152726652
2020-01-28,105903.82817704752,0.0,106503.66385740016,-0.005632066152726652
2020-01-29,105903.82817704752,0.0,106503.66385740016,-0.005632066152726652
2020-01-30,105903.82817704752,0.0,106503.66385740016,-0.005632066152726652
2020-01-31,105358.36995407446,-0.00515050524954741,106503.66385740016,-0.010753563415988725
2020-02-03,105358.36995407446,0.0,106503.66385740016,-0.010753563415988725
2020-02-04,105653.61632497718,0.0028023057971704457,106503.66385740016,-0.007981392391919237
2020-02-05,106138.65002300886,0.004590791256399385,106503.66385740016,-0.0034272420419265838
2020-02-06,106480.38416134729,0.0032196955422396645,106503.66385740016,-0.00021858117561133423
